Game,Achievements,Percent Complete,Genre
Call of Duty (2024),6/44,14.00%,First-person shooter
Aimlabs,1/12,8.00%,Training/Simulation
Tom Clancy’s Rainbow Six Siege,41/48,85.00%,First-person shooter
KINGDOM HEARTS III,22/51,43.00%,Action RPG
Dragon Ball: Sparking! ZERO,2/5,40.00%,Fighting
Injustice 2,35/66,53.00%,Fighting
Naruto x Boruto: Ultimate Ninja STORM CONNECTIONS,1/45,2.00%,Fighting
Rise of the Tomb Raider,62/99,63.00%,Action-Adventure
Shadow of the Tomb Raider,23/33,70.00%,Action-Adventure
Lara Croft and the Temple of Osiris,9/20,45.00%,Action-Adventure / Puzzle
Tomb Raider: Anniversary,3/32,9.00%,Action-Adventure
Call of Duty: Black Ops,6/57,11.00%,First-person shooter
Dark Souls III,12/43,28.00%,Action RPG
Dead by Daylight,16/73,22.00%,Survival Horror
XDefiant,13/13,100.00%,First-person shooter
NBA 2K24,13/45,29.00%,Sports
Elden Ring,37/42,88.00%,Action RPG
EA SPORTS UFC 4,3/27,11.00%,Sports / Fighting
EA SPORTS UFC 5,3/31,10.00%,Sports / Fighting
Tomb Raider: Definitive Edition,7/25,28.00%,Action-Adventure
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,26/47,55.00%,Fighting
MultiVersus,6/7,86.00%,Fighting
DayZ,6/13,46.00%,Survival
Resident Evil 3,17/32,53.00%,Survival Horror
Sherlock Holmes: Crimes and Punishments Redux,2/25,8.00%,Adventure / Mystery
For Honor,1/54,2.00%,Action / Fighting
MLB The Show 24,24/25,96.00%,Sports
Resident Evil 2,8/41,20.00%,Survival Horror
Palworld,1/10,10.00%,Action-Adventure / RPG
Lies of P,2/42,5.00%,Action RPG
Brawlhalla,16/19,84.00%,Fighting
Naruto To Boruto: Shinobi Striker,25/48,52.00%,Fighting / RPG
NARAKA: BLADEPOINT,11/40,28.00%,Battle Royale
Gotham Knights,60/61,98.00%,Action RPG
THE FINALS,4/50,8.00%,First-person shooter
Rogue Company,19/20,95.00%,Shooter
Sekiro: Shadows Die Twice - GOTY Edition,31/34,91.00%,Action-Adventure
Mortal Kombat 1,18/25,72.00%,Fighting
MY HERO ULTRA RUMBLE,1/15,7.00%,Battle Royale
Starfield,2/50,4.00%,RPG
MONOPOLY Plus,15/15,100.00%,Party Game
Rocket League,57/77,74.00%,Sports / Action
Fortnite,26/45,58.00%,Battle Royale
SpongeBob’s Truth or Square,4/43,9.00%,Platformer
